,relative,N_of_components_accuracy,Neg_comp_accuracy,Neg_elem_accuracy,Noun_comp_accuracy,Noun_elem_accuracy,Verb_comp_accuracy,Verb_elem_accuracy,Adj_comp_accuracy,Adj_elem_accuracy
0,1,,,,,,,,,
1,1,1,1,1,,,1,1,,1
2,1,,,,,,,,,
3,1,,,1,,,,,,1
4,1,,,,,,,,,
5,1,1,1,1,1,1,1,1,1,1
6,1,,,,,,,,,
7,1,1,1,1,,,,1,,1
8,1,,,,,,,,,
9,1,,1,1,,,,,1,1
10,1,,,,,,,,,
11,1,1,,1,,,,,,1
12,1,,,,,,,,,
13,1,,1,1,,,,,,1
14,1,,,,,,,,,
15,1,,1,1,,,1,1,,1
16,1,,,,,,,,,
17,1,1,1,1,,,,,,1
18,1,,,,,,,,,
19,1,1,1,1,,,1,1,,
20,1,,,,,,,,,
21,1,,1,1,,,1,1,,1
22,1,,,,,,,,,
23,1,,1,1,,,1,1,1,
24,1,,,,,,,,,
25,1,,1,1,,,,,,1
26,1,,,,,,,,,
27,1,1,1,1,,1,,,1,1
28,1,,,,,,,,,
29,1,,1,1,,,,,,1
30,1,,,,,,,,,
31,1,,1,1,,,,,,1
32,1,,,,,,,,,
33,1,,1,1,,,,,1,1
34,0,,,,,,,,,
35,0,,1,1,,,,,1,1
36,0,,,,,,,,,
37,0,1,1,,,,,1,,
38,0,,,,,,,,,
39,0,,,,,,,1,,1
40,0,,,,,,,,,
41,0,1,,,,,,1,1,
42,0,,,,,,,,,
43,0,1,1,,,1,1,1,,
44,0,,,,,,,,,
45,0,,,,,,1,1,,
46,0,,,,,,,,,
47,0,,,1,,,1,1,,
48,0,,,,,,,,,
49,0,1,1,1,1,,1,1,,
