"","X","relative","POS_factor","accuracy"
"1",0,1,"N_of_components_accuracy",0
"2",1,1,"N_of_components_accuracy",1
"3",2,1,"N_of_components_accuracy",0
"4",3,1,"N_of_components_accuracy",0
"5",4,1,"N_of_components_accuracy",0
"6",5,1,"N_of_components_accuracy",1
"7",6,1,"N_of_components_accuracy",0
"8",7,1,"N_of_components_accuracy",1
"9",8,1,"N_of_components_accuracy",0
"10",9,1,"N_of_components_accuracy",0
"11",10,1,"N_of_components_accuracy",0
"12",11,1,"N_of_components_accuracy",1
"13",12,1,"N_of_components_accuracy",0
"14",13,1,"N_of_components_accuracy",0
"15",14,1,"N_of_components_accuracy",0
"16",15,1,"N_of_components_accuracy",0
"17",16,1,"N_of_components_accuracy",0
"18",17,1,"N_of_components_accuracy",1
"19",18,1,"N_of_components_accuracy",0
"20",19,1,"N_of_components_accuracy",1
"21",20,1,"N_of_components_accuracy",0
"22",21,1,"N_of_components_accuracy",0
"23",22,1,"N_of_components_accuracy",0
"24",23,1,"N_of_components_accuracy",0
"25",24,1,"N_of_components_accuracy",0
"26",25,1,"N_of_components_accuracy",0
"27",26,1,"N_of_components_accuracy",0
"28",27,1,"N_of_components_accuracy",1
"29",28,1,"N_of_components_accuracy",0
"30",29,1,"N_of_components_accuracy",0
"31",30,1,"N_of_components_accuracy",0
"32",31,1,"N_of_components_accuracy",0
"33",32,1,"N_of_components_accuracy",0
"34",33,1,"N_of_components_accuracy",0
"35",34,0,"N_of_components_accuracy",0
"36",35,0,"N_of_components_accuracy",0
"37",36,0,"N_of_components_accuracy",0
"38",37,0,"N_of_components_accuracy",1
"39",38,0,"N_of_components_accuracy",0
"40",39,0,"N_of_components_accuracy",0
"41",40,0,"N_of_components_accuracy",0
"42",41,0,"N_of_components_accuracy",1
"43",42,0,"N_of_components_accuracy",0
"44",43,0,"N_of_components_accuracy",1
"45",44,0,"N_of_components_accuracy",0
"46",45,0,"N_of_components_accuracy",0
"47",46,0,"N_of_components_accuracy",0
"48",47,0,"N_of_components_accuracy",0
"49",48,0,"N_of_components_accuracy",0
"50",49,0,"N_of_components_accuracy",1
"51",0,1,"Neg_comp_accuracy",0
"52",1,1,"Neg_comp_accuracy",1
"53",2,1,"Neg_comp_accuracy",0
"54",3,1,"Neg_comp_accuracy",0
"55",4,1,"Neg_comp_accuracy",0
"56",5,1,"Neg_comp_accuracy",1
"57",6,1,"Neg_comp_accuracy",0
"58",7,1,"Neg_comp_accuracy",1
"59",8,1,"Neg_comp_accuracy",0
"60",9,1,"Neg_comp_accuracy",1
"61",10,1,"Neg_comp_accuracy",0
"62",11,1,"Neg_comp_accuracy",0
"63",12,1,"Neg_comp_accuracy",0
"64",13,1,"Neg_comp_accuracy",1
"65",14,1,"Neg_comp_accuracy",0
"66",15,1,"Neg_comp_accuracy",1
"67",16,1,"Neg_comp_accuracy",0
"68",17,1,"Neg_comp_accuracy",1
"69",18,1,"Neg_comp_accuracy",0
"70",19,1,"Neg_comp_accuracy",1
"71",20,1,"Neg_comp_accuracy",0
"72",21,1,"Neg_comp_accuracy",1
"73",22,1,"Neg_comp_accuracy",0
"74",23,1,"Neg_comp_accuracy",1
"75",24,1,"Neg_comp_accuracy",0
"76",25,1,"Neg_comp_accuracy",1
"77",26,1,"Neg_comp_accuracy",0
"78",27,1,"Neg_comp_accuracy",1
"79",28,1,"Neg_comp_accuracy",0
"80",29,1,"Neg_comp_accuracy",1
"81",30,1,"Neg_comp_accuracy",0
"82",31,1,"Neg_comp_accuracy",1
"83",32,1,"Neg_comp_accuracy",0
"84",33,1,"Neg_comp_accuracy",1
"85",34,0,"Neg_comp_accuracy",0
"86",35,0,"Neg_comp_accuracy",1
"87",36,0,"Neg_comp_accuracy",0
"88",37,0,"Neg_comp_accuracy",1
"89",38,0,"Neg_comp_accuracy",0
"90",39,0,"Neg_comp_accuracy",0
"91",40,0,"Neg_comp_accuracy",0
"92",41,0,"Neg_comp_accuracy",0
"93",42,0,"Neg_comp_accuracy",0
"94",43,0,"Neg_comp_accuracy",1
"95",44,0,"Neg_comp_accuracy",0
"96",45,0,"Neg_comp_accuracy",0
"97",46,0,"Neg_comp_accuracy",0
"98",47,0,"Neg_comp_accuracy",0
"99",48,0,"Neg_comp_accuracy",0
"100",49,0,"Neg_comp_accuracy",1
"101",0,1,"Neg_elem_accuracy",0
"102",1,1,"Neg_elem_accuracy",1
"103",2,1,"Neg_elem_accuracy",0
"104",3,1,"Neg_elem_accuracy",1
"105",4,1,"Neg_elem_accuracy",0
"106",5,1,"Neg_elem_accuracy",1
"107",6,1,"Neg_elem_accuracy",0
"108",7,1,"Neg_elem_accuracy",1
"109",8,1,"Neg_elem_accuracy",0
"110",9,1,"Neg_elem_accuracy",1
"111",10,1,"Neg_elem_accuracy",0
"112",11,1,"Neg_elem_accuracy",1
"113",12,1,"Neg_elem_accuracy",0
"114",13,1,"Neg_elem_accuracy",1
"115",14,1,"Neg_elem_accuracy",0
"116",15,1,"Neg_elem_accuracy",1
"117",16,1,"Neg_elem_accuracy",0
"118",17,1,"Neg_elem_accuracy",1
"119",18,1,"Neg_elem_accuracy",0
"120",19,1,"Neg_elem_accuracy",1
"121",20,1,"Neg_elem_accuracy",0
"122",21,1,"Neg_elem_accuracy",1
"123",22,1,"Neg_elem_accuracy",0
"124",23,1,"Neg_elem_accuracy",1
"125",24,1,"Neg_elem_accuracy",0
"126",25,1,"Neg_elem_accuracy",1
"127",26,1,"Neg_elem_accuracy",0
"128",27,1,"Neg_elem_accuracy",1
"129",28,1,"Neg_elem_accuracy",0
"130",29,1,"Neg_elem_accuracy",1
"131",30,1,"Neg_elem_accuracy",0
"132",31,1,"Neg_elem_accuracy",1
"133",32,1,"Neg_elem_accuracy",0
"134",33,1,"Neg_elem_accuracy",1
"135",34,0,"Neg_elem_accuracy",0
"136",35,0,"Neg_elem_accuracy",1
"137",36,0,"Neg_elem_accuracy",0
"138",37,0,"Neg_elem_accuracy",0
"139",38,0,"Neg_elem_accuracy",0
"140",39,0,"Neg_elem_accuracy",0
"141",40,0,"Neg_elem_accuracy",0
"142",41,0,"Neg_elem_accuracy",0
"143",42,0,"Neg_elem_accuracy",0
"144",43,0,"Neg_elem_accuracy",0
"145",44,0,"Neg_elem_accuracy",0
"146",45,0,"Neg_elem_accuracy",0
"147",46,0,"Neg_elem_accuracy",0
"148",47,0,"Neg_elem_accuracy",1
"149",48,0,"Neg_elem_accuracy",0
"150",49,0,"Neg_elem_accuracy",1
