,content,marked,relative,N_of_components,Neg_comp,Neg_elem,Noun_comp,Noun_elem,Verb_comp,Verb_elem,Adj_comp,Adj_elem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,N_of_components_accuracy,Neg_comp_accuracy,Neg_elem_accuracy,Noun_comp_accuracy,Noun_elem_accuracy,Verb_comp_accuracy,Verb_elem_accuracy,Adj_comp_accuracy,Adj_elem_accuracy
0,hot.out,0.0,1.0,2.0,0.5,0.0625,1.0,0.5,0.5,0.125,1.0,0.375,25.0,39.0,,,,,,,,,,,,,,,,,,,,
1,cold.out,1.0,1.0,3.0,0.666666667,0.161290323,1.0,0.451612903,0.666666667,0.161290323,1.0,0.387096774,35.0,39.0,98.0,,,,,,,,,,,1,1,1,,,1,1,,1
2,dark.out,0.0,1.0,3.0,1.0,0.230769231,1.0,0.461538462,0.333333333,0.038461538,1.0,0.5,35.0,38.0,124.0,,,,,,,,,,,,,,,,,,,
3,light.out,1.0,1.0,3.0,1.0,0.387096774,1.0,0.419354839,0.333333333,0.032258065,1.0,0.548387097,35.0,37.0,38.0,,,,,,,,,,,,,1,,,,,,1
4,fast.out,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
5,slow.out,1.0,1.0,4.0,0.25,0.222222222,1.0,0.37037037,1.0,0.407407407,0.5,0.222222222,40.0,66.0,101.0,126.0,,,,,,,,,,1,1,1,1,1,1,1,1,1
6,hard.out,0.0,1.0,2.0,0.0,0.0,1.0,0.777777778,0.5,0.111111111,0.5,0.111111111,64.0,126.0,,,,,,,,,,,,,,,,,,,,
7,easy.out,1.0,1.0,4.0,0.5,0.1,1.0,0.5,0.5,0.25,0.5,0.25,38.0,44.0,64.0,126.0,,,,,,,,,,1,1,1,,,,1,,1
8,heavy.out,0.0,1.0,7.0,0.142857143,0.078431373,1.0,0.490196078,0.857142857,0.294117647,0.714285714,0.215686275,5.0,35.0,83.0,101.0,104.0,106.0,115.0,,,,,,,,,,,,,,,
9,light.out,1.0,1.0,3.0,1.0,0.387096774,1.0,0.419354839,0.333333333,0.032258065,1.0,0.548387097,35.0,37.0,38.0,,,,,,,,,,,,1,1,,,,,1,1
10,strong.out,0.0,1.0,1.0,1.0,0.05,1.0,0.4,1.0,0.45,1.0,0.15,67.0,,,,,,,,,,,,,,,,,,,,,
11,weak.out,1.0,1.0,7.0,0.714285714,0.191780822,1.0,0.369863014,0.857142857,0.328767123,0.857142857,0.301369863,35.0,38.0,67.0,68.0,69.0,126.0,132.0,,,,,,,1,,1,,,,,,1
12,wide.out,0.0,1.0,8.0,0.5,0.220338983,1.0,0.559322034,0.25,0.033898305,1.0,0.406779661,3.0,5.0,34.0,37.0,46.0,56.0,91.0,94.0,,,,,,,,,,,,,,
13,narrow.out,1.0,1.0,5.0,0.8,0.428571429,1.0,0.452380952,0.2,0.023809524,1.0,0.523809524,3.0,35.0,36.0,37.0,38.0,,,,,,,,,,1,1,,,,,,1
14,tall.out,0.0,1.0,7.0,0.142857143,0.020833333,1.0,0.604166667,0.428571429,0.104166667,1.0,0.291666667,3.0,5.0,17.0,34.0,46.0,91.0,115.0,,,,,,,,,,,,,,,
15,short.out,1.0,1.0,6.0,0.666666667,0.288461538,1.0,0.461538462,0.666666667,0.115384615,0.833333333,0.423076923,17.0,35.0,37.0,38.0,105.0,149.0,,,,,,,,,1,1,,,1,1,,1
16,deep.out,0.0,1.0,2.0,0.5,0.052631579,1.0,0.578947368,0.5,0.105263158,1.0,0.315789474,7.0,38.0,,,,,,,,,,,,,,,,,,,,
17,shallow.out,1.0,1.0,6.0,0.833333333,0.384615385,1.0,0.461538462,0.333333333,0.038461538,0.833333333,0.5,35.0,37.0,38.0,47.0,94.0,146.0,,,,,,,,1,1,1,,,,,,1
18,even.out,0.0,1.0,6.0,0.5,0.1875,1.0,0.520833333,0.666666667,0.125,1.0,0.354166667,3.0,34.0,35.0,49.0,80.0,91.0,,,,,,,,,,,,,,,,
