Iagree.response,Iagree.rt,key_space.keys,key_space.rt,true_certain_0.response,true_certain_0.rt,nextPractice.keys,nextPractice.rt,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,trialsTraining.ran,context_t,pic_meaning_t,utterance_t,feedback_t,predicted_t,true_how_t,session,participant,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,true_can_1.response,true_can_1.rt,testDone.keys,testDone.rt,trialsTestLoop.thisRepN,trialsTestLoop.thisTrialN,trialsTestLoop.thisN,trialsTestLoop.thisIndex,trialsTestLoop.ran,context,pic_meaning,utterance,predicted,true_how,code,ling_con
1,10.05832,space,14.546335,1,24.91349,space,18.2453,0,0,0,0,1,语境：男生让女生选择吃什么。除了门口的黑板，手机上也可以查到菜单。,trainingImg/amb1.png,句子：“男生正在等待女生， 手里握着一个手机。”,“手里握着手机”的可指“男生”，也可指“女生”。图片中确实有握着手机的女生。句子可以真实描述图片。,1,possibly,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,1,13.7025,space,7.515285,0,1,1,1,1,语境：男生让女生选择吃什么。除了门口的黑板，手机上也可以查到菜单。,trainingImg/amb2.png,句子：“男生正在等待女生， 手里握着一个手机。”,“手里握着手机”的可指“男生”，也可指“女生”。图片中确实有握着手机的男生。句子可以真实描述图片。,1,possibly,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,0,11.9684,space,5.751945,0,2,2,2,1,语境：女生躺在病床上睡着了。一会需要清洁纸巾。,trainingImg/noamb1v2.png,句子：“男生正在等待女生， 手里握着一个手机。”,“手里握着手机”的可指“男生”，也可指“女生”。图片中并没有握着手机的男生/女生。句子不可以真实描述图片。,0,necessarily,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,1,12.717455,space,5.621895,0,3,3,3,1,语境：女生躺在病床上睡着了。一会需要清洁纸巾。,trainingImg/noamb1v2.png,句子：“男生正在等待女生， 手里握着一张清洁纸巾。”,“手里握着清洁纸巾”的可指“男生”，也可指“女生”。图片中确实有握纸巾的男生。句子可以真实描述图片。,1,necessarily,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,space,1.501565,1,11.888255,space,8.38627,0,0,0,10,1,语境：图片中的女生觉得155cm算是高的男孩。她在比较三个男孩的身高。,img/gao_comp.png,句子：“这三个男孩里，小明高。”,1,necessarily,pos-t-comp-t-gao,upward
,,,,,,,,,,,,,,,,,,,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,1,8.95302,space,5.4428,0,1,1,1,1,语境：图片中的女生在比较三辆车的价格。她觉得30万算是贵的车。,img/gui_comp.png,句子：“这三个车里，红车贵。”,1,possibly,pos-f-comp-t-gui,upward
,,,,,,,,,,,,,,,,,,,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,0,10.574225,space,6.128165,0,2,2,19,1,语境：图片中的女生在比较三个蒙古包的面积大小。她觉得90平方米算是大的蒙古包。,img/da_pos.png,句子：“B蒙古包大。”,0,necessarily,pos-f-comp-f-da,upward
,,,,,,,,,,,,,,,,,,,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,0,13.564555,space,8.887645,0,3,3,27,1,语境：图片中的女生在比较三辆车的时速。她觉得时速130算是快的车速。,img/kuai_pos.png,句子：“我们的这辆车快。”,0,necessarily,pos-f-comp-f-kuai,upward
,,,,,,,,,,,,,,,,,,,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,1,4.315455,space,2.683175,0,4,4,16,1,语境：图片中的女生觉得20平方米算是大的蒙古包。她想租蒙古包。,img/da_pos.png,句子：“B蒙古包大。”,1,possibly,pos-t-comp-f-da,upward
,,,,,,,,,,,,,,,,,,,1,not0,Male,20,2020-08-12_14h27.16.322,XpragNot,2020.1.2,Win32,60,,,1,20.33147,space,17.48787,0,5,5,29,1,语境：图片中的女生在比较三辆车的时速。她觉得时速160算是快的车速。,img/kuai_comp.png,句子：“我们的这辆车不快。”,1,possibly,pos-f-comp-t-bukuai,downward_not
